Date,Forecast_Sales
2019-01-31,49392.89667325803
2019-02-28,41600.08686490099
2019-03-31,71943.16358519357
2019-04-30,60875.81289688905
2019-05-31,68134.26947728351
2019-06-30,62708.32993213239
2019-07-31,66240.78876142218
2019-08-31,65234.819894191736
2019-09-30,105703.37641631163
2019-10-31,76598.16846441364
2019-11-30,114261.97674544319
2019-12-31,116353.33076459673
