Model,MAE,RMSE,MAPE (%)
Seasonal Naive,15444.17785,18932.101375680024,24.86466920943577
ETS,10687.503669406115,12157.490652248198,20.554334431803216
SARIMA,13930.01729493509,16394.81672366486,27.768089631002553
